nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
CUISTOT Fromage fondu,1,Produits Laitiers,10.170,,,,,Monoprix,Tunisie
FIORE Râpé gruyère,1,Produits Laitiers,10.380,,,,,Monoprix,Tunisie
FROMY Fromage fondu rapé,1,Produits Laitiers,10.390,,,,,Monoprix,Tunisie
FIORE Râpé mixte,1,Produits Laitiers,10.480,,,,,Monoprix,Tunisie
SOUANI Mozzarella,1,Produits Laitiers,10.490,,,,,Monoprix,Tunisie
DELICE Fromage frais,1,Produits Laitiers,10.660,,,,,Monoprix,Tunisie
SOUANI Camembert,1,Produits Laitiers,10.840,,,,,Monoprix,Tunisie
TARTI FRO Préparation alimentaire...,1,Produits Laitiers,10.900,,,,,Monoprix,Tunisie
FROMY Fromage slice burger,1,Produits Laitiers,11.110,,,,,Monoprix,Tunisie
MILKANA Fromage fondu,1,Produits Laitiers,11.120,,,,,Monoprix,Tunisie
PRESIDENT Fromage frais,1,Produits Laitiers,11.190,,,,,Monoprix,Tunisie
KAISER Fromage feta,1,Produits Laitiers,11.220,,,,,Monoprix,Tunisie
KAISER Fromage feta,1,Produits Laitiers,11.220,,,,,Monoprix,Tunisie
KAISER Fromage emmental,1,Produits Laitiers,11.530,,,,,Monoprix,Tunisie
SOUANI Camembert,1,Produits Laitiers,12.600,10.990,,,,Monoprix,Tunisie
LANSARINE Camembert,1,Produits Laitiers,11.600,,,,,Monoprix,Tunisie
KAISER Fromage gouda,1,Produits Laitiers,11.690,,,,,Monoprix,Tunisie
KAISER Fromage edam,1,Produits Laitiers,12.370,,,,,Monoprix,Tunisie
SOUANI Camembert,1,Produits Laitiers,12.450,,,,,Monoprix,Tunisie
GOUTELA Préparation alimentaire...,1,Produits Laitiers,12.580,,,,,Monoprix,Tunisie
KAISER Fromage à l'emmental,1,Produits Laitiers,12.590,,,,,Monoprix,Tunisie
GRAND'OR Fromage bleu,1,Produits Laitiers,12.840,,,,,Monoprix,Tunisie
FIORELLA Préparation alimentaire,1,Produits Laitiers,12.900,,,,,Monoprix,Tunisie
LEDOUX Pizzatella,1,Produits Laitiers,13.000,,,,,Monoprix,Tunisie
MAJESTE Mozzarella,1,Produits Laitiers,13.530,,,,,Monoprix,Tunisie
FROMY PLUS Fromage fondu,1,Produits Laitiers,16.120,13.990,,,,Monoprix,Tunisie
MONT REGAL Mozzarella râpé,1,Produits Laitiers,14.690,,,,,Monoprix,Tunisie
MONT REGAL Préparation fromagère...,1,Produits Laitiers,14.690,,,,,Monoprix,Tunisie
MONTREGAL Préparation fromagère rapée,1,Produits Laitiers,14.690,,,,,Monoprix,Tunisie
SOUANI Fromage de brie,1,Produits Laitiers,14.950,,,,,Monoprix,Tunisie
PRESIDENT Fromage râpé,1,Produits Laitiers,15.180,,,,,Monoprix,Tunisie
SOUANI Camembert,1,Produits Laitiers,15.290,,,,,Monoprix,Tunisie
KAISER Fromage edam,1,Produits Laitiers,15.290,,,,,Monoprix,Tunisie
SOUANI Mini camemberts medaillons,1,Produits Laitiers,15.290,,,,,Monoprix,Tunisie
KAISER Fromage rapé,1,Produits Laitiers,15.570,,,,,Monoprix,Tunisie
KAISER Fromage gouda,1,Produits Laitiers,15.940,,,,,Monoprix,Tunisie
SOUANI Mozzarella,1,Produits Laitiers,16.290,,,,,Monoprix,Tunisie
